Qty,Manufacture Part Number/Seeed SKU,Parts
5,CL21F104ZBCNNNC,"C1, C4, C6, C7, C8"
4,RNCP0805FTD100R,"R2, R4, R5, R6"
1,RNCP0805FTD10K,R7
1,F931A106MAA,C5
1,ABM3-16.000MHZ-B2-T,X3
2,CL21C180JBANNNC,"C2, C3"
2,RMCF0805JT220R,"R1, R3"
1,0ZCJ0050FF2G,L1
1,ATMEGA32U4-AU,U$2
4,LTST-C191KRKT,"LEDCONFIG, LEDPWR, LEDRX, LEDTX"
1,TL3315NF100Q,S1
1,10118192-0001LF,CN1
1,WS2812B,L2
1,B2B-PH-K-S(LF)(SN),J3
1,B3B-PH-K-S(LF)(SN),J1
